"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__uncultured.f__",0.00148493848112007,0.00107398471854663,1.38264395710356,9.5,16.4,0.959232248757814,0.284
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae",0.00139478150190921,0.00137834530541354,1.01192458553826,12.75,6,0.961339958326655,0.547
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae",0.00114022061943148,0.00158704633584913,0.718454523775084,10.75,1.2,0.963062990863921,0.248
"d__Bacteria.k__.p__Chloroflexi.c__Chloroflexia.o__Thermomicrobiales.f__JG30.KF.CM45",0.00111370386084005,0.00116572194059988,0.955376940290698,10.5,0,0.964745952877064,0.001
"d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae",0.00111370386084005,0.00173690361812883,0.641200725944625,10.5,0,0.966428914890207,0.035
"d__Bacteria.k__.p__WPS.2.c__.o__.f__",0.00109779380568519,0.000762747785926945,1.43926187127646,10.75,0.8,0.968087834588876,0.074
"d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__Tepidisphaerales.f__",0.00106067034365719,0.00107948390820372,0.982571704493644,1,10.4,0.969690655553775,0.071
"d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae",0.00106067034365719,0.00150316899307663,0.705622819884179,10,0.4,0.971293476518673,0.001
"d__Bacteria.k__.p__Bdellovibrionota.c__Bdellovibrionia.o__Bacteriovoracales.f__Bacteriovoracaceae",0.000864446330080611,0.000861881607626086,1.00297572477685,0.25,8.2,0.972599775605065,0.001
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Isosphaerales.f__Isosphaeraceae",0.000768985999151464,0.00136652398082947,0.562731433871138,7.25,0,0.973761820804616,0.001
"d__Bacteria.k__.p__Bdellovibrionota.c__Oligoflexia.o__Oligoflexales.f__uncultured",0.000715952481968604,0.000581844203768569,1.23048829451497,1.25,7,0.974843724955922,0.006
"d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae",0.000700042426813746,0.000813188687307792,0.860861000331132,7,0.6,0.975901586792755,0.434
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.__",0.000657615613067459,0.000649844268537984,1.01195877982729,6.5,1.2,0.976895335790992,0.024
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Parvularculaceae",0.000657615613067459,0.000893140252369652,0.736296019939414,0,6.2,0.977889084789229,0.295
"d__Bacteria.k__.p__Firmicutes.__.__.__",0.000652312261349173,0.000736684795566902,0.885469966632334,0.75,6,0.978874819682641,0.893
"d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Euzebyales.f__Euzebyaceae",0.000631098854476029,0.000583470179737521,1.08163000679818,5.75,2.6,0.979828498156756,0.086
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Granulosicoccales.f__Granulosicoccaceae",0.000620492151039457,0.000456892453828051,1.35807047334815,1.75,6.4,0.980766148421221,0.025
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Spongiibacteraceae",0.000615188799321171,0.00126234078109756,0.487339717240448,0,5.8,0.981695784580862,0.145
"d__Bacteria.k__.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae",0.00055154857870174,0.000597632617212828,0.922889017125588,0,5.2,0.982529251482609,1
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Xanthobacteraceae",0.000530335171828596,0.000625137560197817,0.848349556313298,5,0,0.983330661965059,0.001
"d__Bacteria.k__.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Parachlamydiaceae",0.000450784896054306,0.000801065781865552,0.562731433871138,4.25,0,0.98401186087514,0.022
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Micavibrionales.f__Micavibrionaceae",0.00044548154433602,0.000394772205673181,1.12845215021247,1,4.4,0.984685045680397,0.001
"d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae",0.000424268137462877,0.000230847343055795,1.83787316694536,5,2,0.985326174066357,0.15
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__DEV007",0.000424268137462877,0.000344126900998648,1.2328828005938,1,4.4,0.985967302452316,0.535
"d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__Phycisphaerales.f__Phycisphaeraceae",0.000418964785744591,0.00050631698629354,0.827475271591409,2.25,2.8,0.986600416733451,0.031
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Microbulbiferaceae",0.000371234620280017,0.000659701232124573,0.562731433871138,3.5,0,0.987161404071165,0.191
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae",0.000371234620280017,0.00048970116508095,0.758084004596253,3.5,0,0.98772239140888,0.274
"d__Bacteria.k__.p__Planctomycetota.__.__.__",0.000365931268561731,0.000577349158831533,0.63381276817363,3.25,0.4,0.988275364641769,0.004
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae",0.000365931268561731,0.000438643700119207,0.834233498537161,1.25,3,0.988828337874659,0.787
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Cryomorphaceae",0.000360627916843445,0.000582378227537768,0.619233171487438,0,3.4,0.989373297002725,0.12
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Rickettsiaceae",0.000350021213406873,0.000525399627162853,0.666199965342534,3,0.6,0.989902227921141,0.538
"d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Nitriliruptorales.f__Nitriliruptoraceae",0.000344717861688587,0.000326240651110267,1.05663675116954,1.75,3,0.990423144734733,0.005
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Stappiaceae",0.000323504454815443,0.00046992541260512,0.688416600034536,2.75,0.6,0.990912005129027,0.345
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Beijerinckiaceae",0.000318201103097157,0.000565458198963919,0.562731433871138,3,0,0.991392851418497,0.131
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Thermosynechococcales.f__Thermosynechococcaceae",0.000318201103097157,0.000565458198963919,0.562731433871138,3,0,0.991873697707966,0.088
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Endozoicomonadaceae",0.000286380992787442,0.000197985151566977,1.44647712477853,2.5,2.8,0.992306459368489,1
"d__Bacteria.k__.p__SAR324_clade.Marine_group_B..c__.o__.f__",0.00027577428935087,0.000312379287035054,0.882818742460102,0,2.6,0.992723192819362,0.483
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Tistrellales.f__Geminicoccaceae",0.000238650827322868,0.000424093649222939,0.562731433871138,2.25,0,0.993083827536464,0.666
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__AB1",0.000233347475604582,0.000426495282095914,0.547127917706027,0,2.2,0.993436448148742,0.078
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae",0.000228044123886296,0.000284347541671824,0.80199084031291,1.75,0.8,0.993781054656195,0.372
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae",0.000228044123886296,0.000154952666770087,1.47170183411338,2.25,2,0.994125661163648,0.478
"d__Bacteria.k__.p__Cyanobacteria.c__Vampirivibrionia.o__Vampirovibrionales.f__",0.00022274077216801,0.000211854761080707,1.05138431174155,1.5,1.2,0.994462253566277,0.002
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Phormidesmiales.f__Phormidesmiaceae",0.000212134068731438,0.0004352899245164,0.487339717240448,0,2,0.994782817759256,0.909
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Paracaedibacterales.f__Paracaedibacteraceae",0.000190920661858294,0.000219271223694125,0.870705506366954,1.5,0.8,0.995071325532938,0.007
"d__Bacteria.k__.p__Bdellovibrionota.c__Bdellovibrionia.o__Bdellovibrionales.f__Bdellovibrionaceae",0.000164403903266865,0.000155715046116756,1.05579972755872,1.25,0.8,0.995319762782497,0.009
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__C2U",0.000159100551548579,0.000148014576776487,1.07489785812672,1.5,0.4,0.995560185927232,0.001
"d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae",0.000153797199830293,0.000196107048486421,0.784251259795703,0.25,1.4,0.995792594967142,0.362
"d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae",0.000148493848112007,0.000162870576145506,0.911729126440523,0,1.4,0.996016989902228,0.688
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__uncultured.f__",0.000148493848112007,0.000155429592079984,0.955376940290698,1,0.8,0.996241384837314,0.02
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Paenibacillales.f__Paenibacillaceae",0.000132583792957149,0.000235607582901633,0.562731433871138,1.25,0,0.996441737457926,0.235
"d__Bacteria.k__.p__Fusobacteriota.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae",0.000127280441238863,0.00026117395470984,0.487339717240448,0,1.2,0.996634075973714,0.928
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Gimesiaceae",0.000116673737802291,0.000161042565658941,0.724490058419616,0.5,0.8,0.996810386279853,0.55
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__SM2D12",0.000111370386084005,0.000121545504515259,0.916285522267286,0.75,0.6,0.996978682481167,0.479
"d__Bacteria.k__.p__Desulfobacterota.c__Desulfuromonadia.o__Bradymonadales.f__",0.000106067034365719,0.0002176449622582,0.487339717240448,0,1,0.997138964577657,0.308
"d__Bacteria.k__.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__",0.000106067034365719,0.0002176449622582,0.487339717240448,0,1,0.997299246674147,0.426
"d__Bacteria.k__.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Simkaniaceae",0.000106067034365719,0.000188486066321306,0.562731433871138,1,0,0.997459528770636,0.665
