,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.__.__.__,0.00256258,0.00260633,0.983213828,6.4,28.8,0.883327431,0.354
d__Bacteria.k__.p__Acidobacteriota.c__Holophagae.o__Acanthopleuribacterales.f__Acanthopleuribacteraceae.g__Acanthopleuribacter,0.002397115,0.003025391,0.792332404,22.6,0,0.885960334,0.001
d__Bacteria.k__.p__Planctomycetota.c__OM190.o__.f__.g__,0.002269835,0.001615565,1.404978832,22.2,0.8,0.888453437,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Pricia,0.002248621,0.002210508,1.017241994,21.2,0,0.89092324,0.001
d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__mle1.8.f__.g__,0.002248621,0.004056515,0.554323358,21.2,0,0.893393044,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Arenicellales.f__Arenicellaceae.g__uncultured,0.002036487,0.002085011,0.976727249,19.2,0,0.895629846,0.002
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Ulvibacter,0.001718286,0.002773844,0.619460218,16.2,0,0.897517149,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae.g__uncultured,0.001654646,0.002029644,0.815239465,15.8,0.2,0.899334551,0.002
d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Microtrichaceae.g__uncultured,0.001569792,0.00188051,0.834769353,14.8,0,0.901058753,0.007
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__uncultured,0.001540093,0.002573468,0.59845046,14.6,1.2,0.902750336,0.036
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Synechococcales_Incertae_Sedis.g__Schizothrix_LEGE_07164,0.001527365,0.001196882,1.276119773,14.4,0,0.904427938,0.004
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__KI89A_clade.f__.g__,0.001429784,0.001005364,1.422155103,13.6,0.2,0.90599836,0.001
d__Bacteria.k__.p__Gemmatimonadota.c__BD2.11_terrestrial_group.o__.f__.g__,0.001421298,0.001980313,0.717714118,13.4,0,0.907559462,0.003
d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__DEV007.g__,0.001378871,0.000841324,1.638930357,14,1,0.909073964,0.017
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Ardenticatenales.f__uncultured.g__,0.001315231,0.001159079,1.134721315,12.4,0,0.910518565,0.002
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Candidatus_Thiobios,0.001294018,0.002534536,0.51055411,12.2,0,0.911939867,0.022
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Rhodopirellula,0.001277047,0.001041259,1.226444914,13.2,1.8,0.913342529,0.666
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.__,0.001272804,0.002287215,0.556486675,12,0,0.914740531,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__uncultured,0.001238863,0.002304105,0.537676335,11.6,0.8,0.916101253,0.344
d__Bacteria.k__.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Spirochaeta_2,0.001175223,0.001048187,1.12119564,11.2,0.2,0.917392074,0.842
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Roseovarius,0.001166737,0.000711519,1.639783183,11,0,0.918673576,0.001
d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__uncultured,0.001166737,0.001708909,0.682738326,11,0,0.919955078,0.182
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Altererythrobacter,0.001103097,0.001061995,1.038702432,10.4,0,0.921166679,0.132
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__pItb.vmat.80.f__.g__,0.001056428,0.000732605,1.44201508,11,1.2,0.922327021,0.001
d__Bacteria.k__.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Microtrichaceae.g__Sva0996_marine_group,0.001018244,0.001494692,0.681239521,9.6,0,0.923445422,0.015
d__Bacteria.k__.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.__,0.00099703,0.001250512,0.797297594,9.4,0,0.924540523,0.001
d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae.g__uncultured,0.000963089,0.000802496,1.200116456,10,1,0.925598345,0.14
d__Bacteria.k__.p__NB1.j.c__.o__.f__.g__,0.000954603,0.000860604,1.109224841,9,0,0.926646846,0.001
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Bythopirellula,0.000937633,0.001095747,0.855702054,9,0.4,0.927676707,0.015
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__Lewinella,0.00093339,0.00070954,1.315485763,8.8,0,0.928701909,0.638
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.__,0.000912176,0.000738037,1.235950302,9.6,1.8,0.92970381,0.607
d__Bacteria.k__.p__Deinococcota.c__Deinococci.o__Deinococcales.f__Trueperaceae.g__Truepera,0.000912176,0.000803127,1.135781669,8.6,0,0.930705711,0.719
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Gammaproteobacteria_Incertae_Sedis.f__Unknown_Family.g__uncultured,0.000852779,0.000553246,1.541410741,10.2,3.6,0.931642373,0.002
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__,0.000848536,0.000941749,0.901021267,8.4,0.4,0.932574374,0.858
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.__.__,0.000806109,0.001335701,0.603510487,7.6,0,0.933459775,0.679
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__Pleurocapsa_PCC.7319,0.000793381,0.000820518,0.96692705,1.4,8,0.934331196,0.965
d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__Persicirhabdus,0.000789139,0.000485172,1.62651285,7.8,0.6,0.935197957,0.26
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pir4_lineage,0.000789139,0.000810147,0.974069003,7.6,1.2,0.936064718,0.311
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Filomicrobium,0.000721256,0.000582565,1.238070143,6.8,0,0.936856919,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Parvularculaceae.g__Marinicaulis,0.000721256,0.000839651,0.858994959,6.8,0,0.93764912,0.002
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Silicimonas,0.000700042,0.000773393,0.905157635,6.6,0,0.938418021,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__uncultured,0.000678829,0.001332187,0.509559954,6.4,0,0.939163622,0.001
