,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Planctomycetota.c__Phycisphaerae.o__mle1.8.f__,0.002248621,0.004056515,0.554323358,21.2,0,0.932421255,0.001
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae,0.001951633,0.001923151,1.014810477,18.6,0.2,0.934607962,0.001
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae,0.001875265,0.002306139,0.813162252,18.8,6,0.936709101,0.95
d__Bacteria.k__.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae,0.001654646,0.00229601,0.720661265,15.6,0,0.938563048,0.001
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Synechococcales_Incertae_Sedis,0.001527365,0.001196882,1.276119773,14.4,0,0.940274384,0.003
d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae,0.001506152,0.002377061,0.633619263,14.2,0,0.941961951,0.335
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__KI89A_clade.f__,0.001429784,0.001005364,1.422155103,13.6,0.2,0.943563952,0.001
d__Bacteria.k__.p__Gemmatimonadota.c__BD2.11_terrestrial_group.o__.f__,0.001421298,0.001980313,0.717714118,13.4,0,0.945156445,0.001
d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__DEV007,0.001378871,0.000841324,1.638930357,14,1,0.9467014,0.008
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Rubinisphaeraceae,0.001370386,0.001254225,1.092615888,13.4,0.8,0.948236849,0.176
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Parvularculaceae,0.001357658,0.001506874,0.900976624,12.8,0,0.949758036,0.01
d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae,0.001315231,0.001014591,1.296316766,13.4,1,0.951231686,0.138
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Ardenticatenales.f__uncultured,0.001315231,0.001159079,1.134721315,12.4,0,0.952705337,0.001
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae,0.00123462,0.001250842,0.98703158,2,13.4,0.954088666,0.211
d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae,0.001137039,0.000618866,1.837294381,13.4,3,0.955362661,0.897
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Gammaproteobacteria_Incertae_Sedis.f__Unknown_Family,0.001094612,0.000643522,1.700970527,12.6,3.8,0.956589118,0.001
d__Bacteria.k__.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae,0.00106067,0.001353827,0.783460747,10,0,0.957777545,0.003
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__pItb.vmat.80.f__,0.001056428,0.000732605,1.44201508,11,1.2,0.958961219,0.001
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae,0.001022486,0.000661595,1.54548581,15.4,14.4,0.960106863,0.266
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae,0.001018244,0.000729733,1.395364559,9.6,0,0.961247754,0.001
d__Bacteria.k__.p__NB1.j.c__.o__.f__,0.000954603,0.000860604,1.109224841,9,0,0.962317339,0.001
d__Bacteria.k__.p__Deinococcota.c__Deinococci.o__Deinococcales.f__Trueperaceae,0.000912176,0.000803127,1.135781669,8.6,0,0.963339386,0.746
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.__,0.000806109,0.001335701,0.603510487,7.6,0,0.964242591,0.704
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae,0.000763683,0.00080604,0.947450441,1.8,8.2,0.965098259,0.995
d__Bacteria.k__.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae,0.00075944,0.000992487,0.765188462,0.8,7.8,0.965949173,0.159
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae,0.000721256,0.001315901,0.548107933,6.8,0,0.966757304,0.02
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Tistrellales.f__Geminicoccaceae,0.000700042,0.000736129,0.950978371,6.6,0,0.967541666,0.155
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__AT.s2.59.f__,0.000678829,0.000974528,0.696571777,6.4,0,0.96830226,0.001
d__Bacteria.k__.p__Bacteroidota.c__SJA.28.o__.f__,0.000636402,0.000795503,0.8,6,0,0.969015316,0.002
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiales_Incertae_Sedis,0.000623674,0.000720892,0.865142555,5.8,0.8,0.969714112,0.014
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__uncultured,0.000615189,0.0005321,1.15615256,5.8,0,0.9704034,0.005
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Stappiaceae,0.000530335,0.000387302,1.369306394,5,0,0.970997614,0.176
d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae,0.000526092,0.000386672,1.360564659,5.8,5.4,0.971587074,0.866
d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae,0.000526092,0.000861954,0.610348869,5,0.2,0.972176534,0.001
d__Bacteria.k__.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae,0.000509122,0.000401563,1.267849305,2.4,6,0.972746979,0.009
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Hyphomonadaceae,0.000466695,0.000270419,1.725821989,4.4,0,0.973269887,0.849
