"","average","sd","ratio","ava","avb","cumsum","p"
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__uncultured",0.0027577428935087,0.00354317041310164,0.778326349562908,26,2,0.871249030256012,0.158
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.__",0.00263046245226983,0.00186420247447479,1.41103903051675,25,37.4,0.875096974398759,0.024
"d__Bacteria.k__.p__Bacteroidota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__uncultured",0.00261985574883326,0.00342766631930012,0.764326368083634,4.5,27,0.878929402637704,0.039
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Pseudaminobacter",0.00257212558336869,0.00457078710829168,0.562731433871138,24.25,0,0.882692009309542,0.005
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__uncultured",0.0024183283835384,0.00192391252780905,1.25698458146244,0,22.8,0.886229635376261,0.082
"d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pir4_lineage",0.00228044123886296,0.00346365050732626,0.658392419800845,21.5,2.6,0.889565554693561,0.055
"d__Bacteria.k__.p__Chloroflexi.c__Anaerolineae.o__Caldilineales.f__Caldilineaceae.g__uncultured",0.00224862112855325,0.0020438936315533,1.10016543612612,1.5,22.2,0.892854926299457,0.115
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus",0.00220619431480696,0.00245722029883397,0.897841482041259,19,8.2,0.896082234290147,0.004
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga",0.00218498090793381,0.00368688253419814,0.59263643136627,0,20.6,0.899278510473235,0.407
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Microcystaceae.g__Synechocystis_BDHKU.20401",0.00212134068731438,0.00376972132642613,0.562731433871138,20,0,0.902381691233514,0.013
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Actibacterium",0.00197815019092066,0.00190929190449808,1.03606482919681,19.25,15.2,0.905275407292475,0.224
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Altererythrobacter",0.00185617310140008,0.00203369972965119,0.912707551826465,19.5,7.4,0.907990690457719,0.032
"d__Bacteria.k__.p__Myxococcota.c__Polyangia.o__Polyangiales.f__Sandaracinaceae.g__uncultured",0.00183495969452694,0.00315042492483222,0.582448316753545,17,0.6,0.910674941815361,0.053
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Erythrobacter",0.00153797199830293,0.00231116508034607,0.665453113402283,14.5,1.8,0.912924747866563,0.134
"d__Bacteria.k__.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__uncultured",0.00153797199830293,0.000237173099013554,6.48459713474939,14.5,0,0.915174553917766,0.881
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__uncultured.f__.g__",0.00148493848112007,0.00107398471854663,1.38264395710356,9.5,16.4,0.917346780449961,0.276
"d__Bacteria.k__.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Rubritaleaceae.g__Roseibacillus",0.00143190496393721,0.00254456189533764,0.562731433871138,13.5,0,0.91944142746315,0.067
"d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Palleronia.Pseudomaribius",0.00141599490878235,0.00136842917845157,1.03475936576024,13.75,3,0.921512800620636,0.001
"d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.__",0.00124098430207891,0.00111833301152575,1.10967331670361,9.5,6.8,0.9233281613654,0.726
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__Foliisarcina",0.00124098430207891,0.00183232629694248,0.67727254919044,3,10.4,0.925143522110163,0.055
"d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Synechococcales.f__Cyanobiaceae.g__Synechococcus_CC9902",0.00118264743317777,0.00106305417313253,1.1124996854044,2.25,12.6,0.926873545384019,0.564
