OTU ID	Mytilisepta.virgata	Cellana.toreuma	Siphonaria.laciniosa	Saccostrea.cucullata	Lunella.granulata	Echinolittorina.malaccana	Reishia.clavigera	Barbatia.virescens	Monodonta.labio
d8e197de2ff1ef4e979d20c64699045f	0	0	0	0	534	0	0	0	0
e5ab73c25f268721ac0782e226da907c	3	0	0	0	1	0	0	0	0
72782cfa52ddf426d11bd980d0e10346	0	1	38	0	0	0	0	0	0
cb51c9da939e7b3003bc133f196a32b7	14	0	0	0	0	0	0	10	0
7a501b759d6430d9a6018ffbec80d885	0	0	0	0	0	0	0	0	2022
20999a895fcb8f3ffeb362a84de0f04e	1924	3	1	0	0	0	0	0	0
d80dd6ccdd887cb12b7aef7ccfd75b97	0	0	0	0	0	281	0	0	0
5d8132d4e23da537a90a4deea707ab51	0	0	0	0	0	0	0	7	0
7a23137ae22954099c8b23fdeb94a245	0	0	12	0	0	0	0	0	0
bd53a058932b3084c241a03af0e53c0b	0	0	0	99	0	0	0	0	0
66d2c2ed3db29b947d2759375c2d7165	0	0	0	60	0	0	0	0	0
75840da886ac2418c4202014ff087d1a	2	0	0	0	0	0	0	0	2
876dd4e8c1b9c2e861e7c9f82c7b5f20	0	0	0	0	0	0	0	174	0
c091d6f247f25cf899361577e58a92e7	2	0	0	0	0	0	0	0	0
990062cc867155613e3d434c09b0bd94	0	0	0	2	0	0	0	0	0
c8556002a89238c486a7000ace61b113	0	0	5	4	3973	0	0	0	0
b8fa17c2b3af9a4a9200306e98fe33cc	15	0	0	0	0	0	0	0	0
2d9427d238b4f75d241ed67b2854eada	0	0	0	0	0	0	0	0	127
ed15afb114135d718ba27fc912e5762e	2	0	0	0	0	0	0	0	0
585ff3bff13a2de80596f8e836e86dac	17	0	0	0	0	0	0	0	0
b62b43586498f8052a0fc428e1a0f4e1	0	0	35	0	0	0	0	0	0
1a8346be2af31cf3fa6f1c92ac743790	0	2	0	0	0	0	0	0	3
957d4195667d96c584190803fadc4915	11	0	0	0	0	0	0	0	0
6fe92afed267af5a327a2b0f59175387	6	0	0	0	0	0	0	5	0
11891e8c85ae0c06fbe2e1a2859b0b26	0	0	0	0	48	0	0	0	0
55a94cb8634707a44aafee78093da747	3	0	7	0	0	0	0	0	0
0ac38162249d02c661e40ea849fceb9e	8	0	0	0	0	0	0	0	0
15e68ecb3f60dbc376c5ee2aaa53e982	0	0	0	0	54	0	0	0	0
9426f3c5e7f6101ac5fbe4e4c4e82d77	0	0	0	16	0	0	0	0	0
3bae1e68779a61d68c694ecd55ffa9ae	0	0	0	0	22	0	0	0	0
9eedc5e5176c6ffd4a8588c433ba6fdb	0	0	0	0	0	14	0	0	0
1ec6ef3e79be41b84b1bc02ccaba004e	1	0	0	0	1	0	0	2	0
c84774b4ee4d73470555019af5f1d400	11	0	0	0	2	0	0	3	0
407592b4a7b507d50c776368324af3c7	221	0	0	0	0	0	0	0	0
b0000c91c5b80afc4dc731ef69a192fa	2	1	11	0	0	0	0	0	0
a03acde1bf62bac0b69645446a6c2ace	9	0	0	0	0	0	0	0	0
55aa8c3e38e5031edb45a6612eddcbc3	4	0	0	0	0	0	0	0	0
778cd1f59bb3bbd2c4de71bbf917c6f2	0	0	3	0	10	0	0	0	14
f68a8b9a6607993fdbeb93b27c2a2ff2	0	0	9	10	0	0	0	0	0
affa993f9cba9a560112a28e7c2ec978	0	0	0	0	0	0	0	2	0
0599abbc1088c5ea4fca68bd3696f555	0	0	0	0	1	0	0	0	0
c01c6b443e34a74810f3376241b07844	0	0	0	0	0	4	0	0	0
afca65dc4d9e40d29fca9c2fd1936a8e	0	0	0	1238	0	0	0	0	0
3b3ce2f6eb44dba325c033b6667381a7	0	0	0	0	1122	0	0	0	0
eb31b16816981f660d81ca530d1173cf	16	0	0	0	0	0	0	10	0
afb2fb417132e2cc7250bde546025c22	3	0	0	0	0	0	0	2	0
d4352dcad6666754846b1f4d547e7a73	25	0	0	1	0	0	0	0	0
f22999e396d4d737acb49ca8d677a8a7	24	0	0	0	0	0	0	0	0
c7c921162aa65412f2200486454e4815	1	0	0	0	1	0	0	0	0
9d2a9ce6e4e317ea143a5a4377266d5c	45	0	0	0	0	0	0	0	0
31fcddfbfba72e804c28a3e765cf3bfe	0	0	12	0	0	0	0	0	0
998d64755e6bd9e21a4c18259041d35f	0	0	0	0	0	0	0	67	0
9a23a0d79e14d230ab59939402084da1	0	0	0	0	0	11	0	0	0
37b645d7f2473b47848a0f5f00498d67	0	0	0	68	0	0	0	0	0
0aa38e1cbcbdcd763a862bff7c530659	0	0	0	0	0	0	0	31	0
03ed98337cfddd03f286f649079c41bb	0	0	0	766	14	0	0	0	0
08e6bf8aa6e3bf2094c998314243a01c	3	0	0	0	0	0	0	0	0
8f80571bb7d54eb6e09894a524e1c329	0	0	0	4	0	0	0	0	0
0ab4f6bfb7f252a64b749168d64d04ec	5	0	0	0	0	0	0	0	0
7465cf9218cd41eb295601a08efbe943	3	0	0	0	0	0	0	0	0
31c508193d972ad9c626b1d2e07ac74d	6	0	0	0	0	0	0	6	0
0a81c5a9e2cdde458ac7ad8698190a0b	3	0	0	0	0	0	0	2	0
7130df835d904c099e8e9ea4dcd3abe7	0	0	0	3	0	0	0	0	0
119941292e48f408e3b6ad55672e5277	9	0	0	0	0	0	0	0	0
be95bed081a9947f728770c76d6aa27f	3	0	0	0	0	0	0	0	0
2bfd2d84c1bca513047bf83fa23b4902	0	0	0	0	0	0	0	0	1
db0c59e2517890c9c6c7c6b8abc57d6b	11	2	0	0	1	0	0	0	18
7a71d5143118f8e19eca019b4601e5a6	13	0	0	0	0	0	0	0	0
d878f32d74acabdec1600e5632072988	7	0	0	0	3	0	0	0	0
2000e55a802d89ce63a6193f9f712400	3	0	0	0	0	0	0	0	0
3899acb07bbd5cdd872c24c734cf7652	4	0	0	0	0	0	0	0	0
441e756dc2ab449f0f42ad005811fb4d	0	2	0	0	3	0	0	0	0
db47fb8c19dbe83212b7bc6add85abc1	22	0	0	0	0	0	0	0	0
162947ca4e10593e65f0f55725f8dfa3	38	0	0	0	0	0	0	0	0
49d38c4feba05b39d8fcc091b79d2d78	1	0	5	0	0	0	0	0	0
35201e86cc715680a0e2631bf52ca57f	0	0	0	0	4	0	17	3	0
bc53641178926a96d420103814c34bc8	0	0	14	0	0	0	0	2	0
623903ac5973cd21efe8f335458056ff	0	4	0	0	2	0	0	0	19
46e2ef37389f80b8b5e319c121e7edf7	0	0	8	0	0	0	0	0	0
3746782cef2547b1990749bd17e10467	8	0	0	0	0	0	0	0	0
f7c7cf5d973927b9b5e8010776df0cdf	0	0	5	0	0	0	0	0	0
8865af42d3b30705f57caeb0c36b0a87	5	0	0	0	0	0	0	1	0
3231234e482f95002acfe4be2dea6118	0	0	0	0	0	0	0	0	90
8da1c092898bf22e27aef59995aaa4ae	8	0	0	0	0	0	0	0	0
b6001622270287693b1c7a7a5253f821	19	0	0	0	0	0	0	0	0
cc216199e87a8260d5915f6591bbd6e7	0	0	0	0	0	3	0	2	0
73f16e2b85699f6c7f6cf19e8b3b64b6	3	0	3	0	0	0	0	0	0
4fb4774ef9c6d29eeca8d4bae7aa9437	0	0	0	0	1	0	0	0	0
5925328f52a81398c0f43ef187b80684	19	0	0	0	0	0	0	0	0
c4cc5d8e5165ef3b1405a445ba0ee7c7	0	0	408	0	0	0	0	0	0
549a0525b9566ae8ed42e76b428cabad	0	0	0	134	0	0	0	0	0
3b840923603e6fbc8ec3c7247d28163c	0	0	51	0	0	0	0	0	0
6ae5167e5a7a09d584f2e3ad4b65ca46	5	0	0	0	0	0	0	6	0
fcdf1e8e5eb115e630f0b0358dcdbccd	0	3	20	0	0	0	0	0	0
3c9f452341045d1ba601c22eb1ff2f1c	29	0	0	0	0	0	0	0	0
09ee00de08f8d54a02caef7108831b3f	0	0	0	2	0	0	0	0	0
6373fc393e6757eeccd5c9382c052702	0	0	2	0	0	0	0	0	0
4e6590e242df4b99c6d69c53e8f57be7	0	0	0	2	0	0	0	0	0
cdafb2e80467fb58d747f82e62d847c7	3	0	0	0	0	0	0	0	0
e5ba2745d18d3589d8bfe71330be75fc	0	0	0	0	0	6	0	0	0
8ee0b02021d8756f74318408a6623e8b	0	0	3	0	0	0	0	0	0
1d4264b261a22d2a94ba4a7240566b00	0	5	0	0	0	0	0	0	0
3c69aea6244777e50e4adb4a9798f354	8	0	0	0	0	0	0	0	0
3b859e5d0fafa21c6ce51c9b45c104c5	22	0	0	0	0	0	0	0	0
f58ea92be9ddd2dcfa091e2e6066ae8d	0	43	0	0	0	0	0	0	0
977bf7e1a1d49b32655b807c17081dca	9	0	0	0	0	0	0	0	0
3184f593d626f1543aa4cfdb6246703e	0	0	0	0	0	7	0	0	0
f7e2ec47875060ae794f7a9bd7efc7b3	0	0	0	0	0	2	0	0	0
2e29e9f54fbbbf9cbcd39f51d456c51e	0	0	0	2	2889	0	0	0	158
a62533954794aa148c497237c799a38a	0	0	0	1	0	0	0	0	0
44599598bdd6a3c52684d7645af4f244	6	0	0	0	0	0	0	0	0
8ebcc1579659835f2c02653116566923	0	0	0	0	0	0	0	60	0
e6ebcec876443126773d86af18cdb6eb	1270	2	5	0	0	0	0	0	0
b04850cd94190dcce7fbfc9925aa46e8	0	7	0	0	165	0	0	0	0
1f3f24e928242fea59f1c02d97748438	4	0	1	0	0	0	0	0	1
fd91778073452fe9c5f5c7dc3c599e64	0	28	152	0	0	0	0	0	0
a565326e2b32d3ac032ea91431b6e945	3	0	0	0	3	0	0	0	0
717b770c1183ca7318d57165ccf32645	8	0	0	0	0	0	0	0	0
0ed8948b21567f57e333604b14842063	2	0	0	0	0	0	0	0	1
0cb668ef633c68d6e02d76a73c34dcee	2	0	0	0	0	0	0	2	0
8629bd87311d83c0b87adcf602f7a01f	0	0	0	20	0	0	0	0	0
55341fb243344f3fa2eeceaf2130f83d	0	15	15	3	0	0	0	0	2
22872c796c9f1f3c295c6642c325a5a4	0	40	249	0	0	67	0	0	0
97f1fada21b85c6381079c808168e038	0	0	0	0	0	10	0	0	0
773197a3fd6c109e9cb929df5519c108	7	0	0	0	0	0	0	0	0
4bd7fae3accefce0e41baf26c3b3b48b	8	0	0	0	0	0	0	0	0
02c7fff2fff3df94068e519eefe8b4e9	14	0	0	0	0	0	0	0	0
125d629154a82f3e015a0c3324a2b90b	0	0	0	0	0	0	0	0	18
b757ef52c06b798853d33593b3a0387a	0	0	0	0	0	0	538	0	0
7065b99c7bd4aff3f3e7776f1d713ba8	133	0	0	0	0	0	0	0	0
5d9a27db73a97ec80968e6ff865c2627	0	0	0	0	0	0	0	6	0
1735612bafc1c4e05285e3f187864082	4	0	0	0	0	0	0	5	0
b22a80d724069751905187da588361ed	0	0	0	0	0	0	0	2	1
50efd0cfb0ac6178aeb86fec484a3583	8	0	0	0	0	0	0	0	0
63398c2f68d511053a4fcc89c4d73f21	12	0	0	0	0	0	0	0	0
9468c556f857bbb8e5fbc446ed96bea8	5	0	0	0	0	0	0	0	0
0883669f6a8885ead35e9b4885197853	0	0	0	0	8	0	0	0	0
83fc309df4f10beb16d902bd4e09fba4	0	0	0	0	0	160	2	0	0
96cb74ffabe98722341d52b67f79d2f3	63	0	4	0	0	0	0	0	0
99031f9b64090dc2e25677b35633d2c5	0	0	0	0	105	0	0	0	0
af4815a86031a16d8fd222852b34af57	0	0	0	0	0	0	1	0	28
deff04aa9dd6019af21a0dabcb684322	9	0	0	0	0	0	0	3	0
51ad6deac03c49aa6b6a82dc416a2b35	3	0	62	0	4	0	0	0	0
bcea05de3a5d7ded02ad999be7cbb737	0	0	0	0	163	0	0	0	0
54d203f00adb23c79ded95408fab4d7f	0	0	12	0	0	0	0	0	2
b08e8903ba9a390b546836d44f4b0c2c	3	0	7	0	0	0	0	0	0
c1e8e8aa9775d4734034c216ea0694bd	12	0	0	0	0	0	0	3	0
923f7f8688aa473d0d340af16361a87b	0	0	0	0	0	34	0	0	0
1bcd07b69cb39dc4116ba9129b54ba2c	3	0	0	0	0	0	0	0	0
60540742201ee1c22114d8610a153c6c	0	0	15	4	0	0	4	0	0
d2965502ff733a19bf776b205a028fd4	0	0	2	0	2	0	0	0	0
2f888f386412d94793aa640b28a47859	0	0	0	0	0	0	0	0	17
