Feature ID	Taxon	Confidence
4de8416d9cd10e97b68df1ca1493857b	d__Bacteria; k__; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta_2; s__uncultured_bacterium	0.8869163647054368
5a9abc8ab63ce5a349a353d317b504e0	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.95614921565995
8213497b1b008fdda01374764b5dd5e4	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicomonadaceae; g__Endozoicomonas	0.9997832142370544
b7f054241f4e16e604bd5e21188e3c7f	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9909420485744406
c8556002a89238c486a7000ace61b113	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9785334025115955
917c1c6591cb97fc255ea6af610c0fd1	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Enterovibrio; s__Enterovibrio_sp.	0.7459166812703693
3f4aceac910e476c8b115184af4e718c	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Enterovibrio; s__Enterovibrio_nigricans	0.7946477868471957
3e232ee55127ade5c6a7d78aaaa986fb	d__Bacteria; k__; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales	0.8041879619505747
c88bb64df7067d0b054e949749900457	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.8874553844782213
b9da00f4ada7b60338728b3ad0d63ca4	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__; g__	0.9999999999959692
e5ab73c25f268721ac0782e226da907c	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__; g__; s__uncultured_bacterium	0.7409364230857899
374c940c827f015dfb5eafe89efef420	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9773808956263121
acfce70779741797c1c33c09e95d305b	d__Bacteria; k__; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__uncultured; s__uncultured_Epsilonproteobacteria	0.9773762563137591
eb59186936c7c56f848a2509d4fde0a6	d__Bacteria; k__; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina	1.0000000000000007
a6cc700be74b26d974643f9a7007ce38	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9878978582149983
c7dfec60c129bac0c1ebe391fa21de67	d__Bacteria; k__	0.9999999988881699
2e29e9f54fbbbf9cbcd39f51d456c51e	d__Bacteria; k__; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__uncultured; s__uncultured_organism	0.8048480293007758
5b1758b6d964ccc80539b75596c7e6f9	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9999208916893253
42535aced5884c3453be159ee49fdad1	d__Bacteria; k__; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ib	0.9992377390991664
25bca0007c35e534f30b247e7a4a2e2d	d__Bacteria; k__; p__Bacteroidota; c__Bacteroidia	0.9981082767463514
cb3de1a3429369b144a86529252ad577	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9999970280851295
f02c7556790cc924e2fbb8329ad81b3c	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicomonadaceae; g__Endozoicomonas; s__uncultured_bacterium	0.869555451605625
215cc77384ee65e08d8eeda4ace61505	d__Bacteria; k__; p__Firmicutes	0.7662084460044469
143027873f4a92051319c6259d444ee0	d__Bacteria; k__; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Xenococcaceae; g__Pleurocapsa_PCC-7319; s__uncultured_bacterium	0.8269470605197493
c34e5b9f9a8325cf62592d0449030545	d__Bacteria; k__; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__uncultured; s__uncultured_spirochete	0.9999262498384986
87f48e9bb07542cc6ea1e12c68477505	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio	0.9849299430661042
d0d0bf36243f1062e79cc4abd9cffd6f	d__Bacteria; k__; p__Firmicutes	0.8712346955037571
3fc021617af9e7988a78c27abb11d2e9	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9999999238557991
a8803a7ebf7addbc788b4a6b26394954	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio	0.9712812540514137
03f102d6c3f002752952018f1ef1de01	d__Bacteria; k__; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Cyanobium_PCC-6307; s__uncultured_cyanobacterium	0.9525765779355797
3a18abb804d24e96452d65f3d020d33d	d__Bacteria; k__; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Synechococcus_CC9902	0.9903210880053332
43a1b8ae6a330a99b67751cd19093dad	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.8742130542306119
d4dec022cae83fe7f4291a4cfa9b0fe0	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__; g__	0.999999999998453
d4a047c9e7b984e8c8650c8e650b93f5	d__Bacteria; k__; p__Firmicutes	0.7835617181918726
bc1eb763429effcff56dc6fc51124dca	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma	0.9999999986987222
0187ba8d7a0d5c28abc3df2c401560b3	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9996445585544885
354bc02bd6792ca33e28bb21b3d95c52	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio	0.9999493104375116
ecae43a297156f0e83795da4bd704f18	d__Bacteria; k__; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Endozoicomonadaceae; g__Endozoicomonas; s__uncultured_bacterium	0.9819471806788799
f7f6cd8f5e15b666e440144ccad61d41	d__Bacteria; k__; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	0.9999428667551987
db8538d0002272f5ab1471c7a439eebc	d__Bacteria; k__; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__AEGEAN-169_marine_group; g__	0.9999999999999946
05b7d47885f21683be6258a3e1c2b71f	d__Bacteria; k__; p__Firmicutes; c__Bacilli	0.9524714365903044
ee5d55cee6d188c666af37dad8f79dc2	d__Bacteria; k__; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Psychrilyobacter; s__uncultured_bacterium	0.9618132179221751
582726df6d7d42e25eae69b9ad4389eb	d__Bacteria; k__; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__uncultured; s__uncultured_spirochete	0.999997021320129
4b2732740dda0768169e9f32809d8c37	d__Bacteria; k__; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__Aplysia_californica	0.999305873055633
e1e4d9eb1800e895286a7c0b0ea6238e	d__Bacteria; k__; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__; g__	0.9999999999999876
2b2c4a1817838b3f30edf33a8e17ede9	d__Bacteria; k__; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ia	0.8470785743259776
edb67e2e7290a79bed828a294dcc2ef3	d__Bacteria; k__; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Psychrilyobacter; s__uncultured_bacterium	0.9876314789078279
