OTU ID	Mytilisepta.virgata	Cellana.toreuma	Siphonaria.laciniosa	Saccostrea.cucullata	Lunella.granulata	Echinolittorina.malaccana	Reishia.clavigera	Barbatia.virescens	Monodonta.labio	Saccostrea.mordax	Tenguella.musiva	Echinolittorina.radiata	Isognomon.nucleus
0599abbc1088c5ea4fca68bd3696f555	0	0	0	0	1	0	0	0	0	0	0	2	0
37ce1a44c271b28a78d68655febf10fb	3	0	0	0	0	0	0	0	0	354	28	0	16
c01c6b443e34a74810f3376241b07844	0	0	0	0	0	9	0	0	0	0	0	0	0
afca65dc4d9e40d29fca9c2fd1936a8e	0	0	0	1238	0	0	0	0	0	8	0	0	0
3b3ce2f6eb44dba325c033b6667381a7	0	0	0	0	1122	0	0	0	0	0	0	0	0
c779810253297f0a29174b2fe5ce514f	0	0	0	0	0	0	0	0	0	0	0	0	7
eb31b16816981f660d81ca530d1173cf	8	0	0	0	0	0	0	10	0	0	0	0	0
bdb0c02a7d2e5d2d0b99036f2fa9c2e9	0	0	0	0	0	0	0	0	0	4	0	0	0
afb2fb417132e2cc7250bde546025c22	2	0	0	0	0	0	0	2	0	0	0	0	0
d4352dcad6666754846b1f4d547e7a73	42	4	0	1	0	1	0	0	0	2	0	0	16
ade94c1efa3dac2c0063f1a6dc682356	0	0	0	0	0	0	0	0	0	0	0	20	0
f22999e396d4d737acb49ca8d677a8a7	12	0	0	0	0	0	0	0	0	0	0	0	0
c7c921162aa65412f2200486454e4815	1	3	0	0	1	0	0	0	0	0	0	0	0
9d2a9ce6e4e317ea143a5a4377266d5c	23	0	0	0	0	0	0	0	0	0	0	0	0
31fcddfbfba72e804c28a3e765cf3bfe	0	0	12	0	0	0	0	0	0	0	0	0	0
998d64755e6bd9e21a4c18259041d35f	0	0	0	0	0	0	0	67	0	0	0	0	0
9a23a0d79e14d230ab59939402084da1	0	0	0	0	0	5	0	0	0	0	0	0	0
37b645d7f2473b47848a0f5f00498d67	0	0	0	68	0	0	0	0	0	0	0	0	0
df1eabdac48430ec23b85843dfd46265	0	0	0	0	0	0	0	0	0	0	0	0	400
0aa38e1cbcbdcd763a862bff7c530659	0	0	0	0	0	0	0	31	0	0	0	0	0
03ed98337cfddd03f286f649079c41bb	0	0	0	766	14	0	0	0	0	0	199	0	0
247acf98a2901c2829519fb9d21294f9	0	0	0	0	0	0	0	0	0	0	0	0	36
26f7f62897765c9d56adbdb4f232fbee	2	1	0	0	0	0	0	0	0	0	0	0	0
08e6bf8aa6e3bf2094c998314243a01c	2	0	0	0	0	0	0	0	0	18	0	4	0
8f80571bb7d54eb6e09894a524e1c329	0	0	0	4	0	0	0	0	0	0	0	0	0
94e96bde71d82f0a58444d69309c94c0	0	0	0	0	0	0	0	0	0	0	0	44	0
f3b9b3df09ed1dec049c8b5556ef2399	0	0	0	0	0	0	0	0	0	0	0	11	10
2a0115bdbaab560cacef8b3015ed9c66	1	1	0	0	0	0	0	0	0	0	0	3	0
0ab4f6bfb7f252a64b749168d64d04ec	3	0	0	0	0	0	0	0	0	0	0	23	2
acfce70779741797c1c33c09e95d305b	0	0	0	0	0	0	0	0	0	0	0	0	3157
7465cf9218cd41eb295601a08efbe943	2	0	0	0	0	0	0	0	0	0	0	0	0
31c508193d972ad9c626b1d2e07ac74d	3	0	0	0	0	0	0	6	0	0	0	0	0
0e1dba9e2abccc9d302082bed4b90374	0	0	0	0	0	0	0	0	0	3	0	21	0
0a81c5a9e2cdde458ac7ad8698190a0b	2	0	0	0	0	0	0	2	0	0	0	0	0
7130df835d904c099e8e9ea4dcd3abe7	0	0	0	3	0	0	0	0	0	0	0	19	0
308f417de8c1d87a629cbbe830bd0437	1	0	0	0	0	0	0	0	0	0	0	39	146
29dfb97b22245a39f4f54cb64a8b4ba1	0	0	0	0	0	0	0	0	0	0	0	0	12
119941292e48f408e3b6ad55672e5277	5	0	0	0	0	0	0	0	0	0	0	0	0
be95bed081a9947f728770c76d6aa27f	2	0	0	0	0	0	0	0	0	0	0	0	0
2bfd2d84c1bca513047bf83fa23b4902	0	1	0	0	0	0	0	0	1	0	0	0	0
697223be9ebc643a6c42873de006c982	1	12	0	0	0	0	0	0	0	0	0	0	0
db0c59e2517890c9c6c7c6b8abc57d6b	6	1	0	0	1	0	0	0	18	0	0	0	0
bf2abc19a5f269a5337f476e37c9d89c	0	0	0	0	0	4	0	0	0	0	0	4	0
7a71d5143118f8e19eca019b4601e5a6	7	0	0	0	0	0	0	0	0	0	0	0	0
d878f32d74acabdec1600e5632072988	4	0	0	0	3	0	0	0	0	0	0	0	0
2000e55a802d89ce63a6193f9f712400	3	0	0	0	0	0	0	0	0	0	0	0	0
3899acb07bbd5cdd872c24c734cf7652	2	6	0	0	0	0	0	0	0	0	0	0	0
441e756dc2ab449f0f42ad005811fb4d	0	1	0	0	3	0	0	0	0	0	0	0	0
db47fb8c19dbe83212b7bc6add85abc1	11	0	0	0	0	0	0	0	0	0	0	0	0
162947ca4e10593e65f0f55725f8dfa3	19	0	0	0	0	0	0	0	0	0	0	0	0
49d38c4feba05b39d8fcc091b79d2d78	1	0	5	0	0	0	0	0	0	0	0	0	0
35201e86cc715680a0e2631bf52ca57f	0	0	0	0	4	0	17	3	0	0	0	0	0
bc53641178926a96d420103814c34bc8	0	0	14	0	0	0	0	2	0	0	0	6	0
623903ac5973cd21efe8f335458056ff	0	2	0	0	2	0	0	0	19	0	0	0	0
6e5c9f74ae9046dcde542c6c557bd5b8	0	0	0	0	0	0	0	0	0	3	12	0	0
46e2ef37389f80b8b5e319c121e7edf7	0	0	8	0	0	0	0	0	0	0	0	0	0
3746782cef2547b1990749bd17e10467	4	0	0	0	0	0	0	0	0	0	0	0	0
22c20bba2433f6013a43e7a4a9f0086b	0	0	0	0	0	0	0	0	0	0	0	0	19
9d8358b866658da57abfdcd1395d43d9	0	0	0	0	0	5	0	0	0	0	0	45	0
9a7bd877a5e311955f5656b3c63b5a5f	0	7	0	0	0	0	0	0	0	0	0	0	0
f7c7cf5d973927b9b5e8010776df0cdf	0	3	5	0	0	0	0	0	0	0	0	0	0
8865af42d3b30705f57caeb0c36b0a87	3	0	0	0	0	0	0	1	0	0	0	0	0
3231234e482f95002acfe4be2dea6118	0	0	0	0	0	0	0	0	90	0	0	0	0
66d9994d636237146fd8967f75938da5	0	0	0	0	0	0	0	0	0	0	16	0	0
8da1c092898bf22e27aef59995aaa4ae	4	1	0	0	0	0	0	0	0	0	0	0	0
b6001622270287693b1c7a7a5253f821	10	0	0	0	0	0	0	0	0	0	0	0	0
cc216199e87a8260d5915f6591bbd6e7	0	0	0	0	0	1	0	2	0	0	0	0	0
73f16e2b85699f6c7f6cf19e8b3b64b6	2	0	3	0	0	0	0	0	0	0	0	0	0
4fb4774ef9c6d29eeca8d4bae7aa9437	0	1	0	0	1	0	0	0	0	0	0	0	0
5925328f52a81398c0f43ef187b80684	10	0	0	0	0	0	0	0	0	0	0	0	0
c4cc5d8e5165ef3b1405a445ba0ee7c7	0	0	408	0	0	0	0	0	0	0	0	0	0
549a0525b9566ae8ed42e76b428cabad	0	0	0	134	0	0	0	0	0	0	0	0	0
3b840923603e6fbc8ec3c7247d28163c	0	0	51	0	0	0	0	0	0	0	0	0	0
6ae5167e5a7a09d584f2e3ad4b65ca46	3	0	0	0	0	0	0	6	0	0	0	0	0
aea00c515296942f3e68bc24456a29f2	0	0	0	0	0	0	0	0	0	5	0	0	2
fcdf1e8e5eb115e630f0b0358dcdbccd	0	2	20	0	0	0	0	0	0	0	0	0	0
327b63cb560f9915a46909e57d968f8d	0	0	0	0	0	52	0	0	0	0	0	560	0
3c9f452341045d1ba601c22eb1ff2f1c	15	0	0	0	0	0	0	0	0	0	0	0	0
09ee00de08f8d54a02caef7108831b3f	0	2	0	2	0	0	0	0	0	0	0	0	0
9e88084b460270c82337b15a7bc39758	0	3	0	0	0	0	0	0	0	0	0	0	0
